ppt,donation,cond_sex,cond_metaphor,rt_consent,rt_instructions,rt_trial,rt_4,rt_5,rt_6,rt_7,rt_8,rt_9,rt_10,rt_11,rt_12,rt_13,rt_debrief,total_time,urgent,sympathy,peace,guilty,self_cancer,ff_cancer,gender,education,socioeconomic,english,age,purpose,feedback
n3pnrnce9mvpuzaenc4z,5,female,literal,192435,5204,9381,4515,3390,2898,957,2904,2494,12858,6135,2564,2203,5737,255007,1,4,5,3,N,Y,M,B,10-25k,Y,25,,
n4voarbqb114l3osqk4d,21,male,journey,104620,4658,6282,2678,1048,957,989,2878,2097,11577,2185,1435,801,5815,149031,2,0,6,2,N,N,F,A,10-25k,Y,NA,,
n70psc8m7y43829y615j,45,male,battle,86580,50854,89807,12819,19169,20848,7091,10982,3822,20829,5623,77059,38260,33696,478790,6,6,4,3,N,Y,F,HS,25-50k,Y,32,What level of sympathy and generosity people would have? ,
n8eh3250p98lbovg3tyu,10,male,battle,32142,25930,24692,6717,3181,3977,8806,4737,3413,10214,3466,26142,3751,6028,163848,4,5,2,4,N,Y,M,B,25-50k,Y,39,How sympathetic people feel to perfect strangers who are reaching out on crowdfunding sites for financial help. ,none
necv0lu0cu0a6t5rd1zt,35,male,literal,7234,38849,64299,7020,10069,4711,2990,12611,2453,13461,4116,10374,2191,32561,213259,4,6,3,3,N,Y,F,B,25-50k,Y,46,"not sure, sorry",
nfu344y0yoj452xl2ce3,1,male,battle,5101,22135,61684,14853,6345,4894,2555,2656,4266,15091,3028,27127,6287,5737,182491,6,4,4,6,N,N,M,M,50-75k,Y,35,Our willingness to donate to others who are in dire need of help financially.,Fun HIT!
nt03w3utj6a6y0kj3wl2,0,male,literal,5221,18090,30389,7319,14498,9414,2527,4363,1617,8768,2979,2395,1601,9297,119359,4,3,2,0,N,Y,F,B,10-25k,Y,36,,
oh43v8afu63m0xnr7spl,10,male,battle,2537,24678,31159,5244,4879,3492,2361,3716,1976,5685,3517,2890,1329,2962,96904,6,6,2,3,N,Y,M,B,10-25k,Y,30,,
oqbawulzjhyhtrj5sbg2,15,female,battle,4967,77349,44813,7903,3397,8061,3367,2694,2152,7500,7152,1587,1077,8555,180842,5,4,5,1,N,N,M,A,25-50k,Y,25,,
or0b9dcz0olgq6kvokm2,0,female,journey,6016,17768,27591,12877,4696,2514,4066,5110,3007,12688,4310,5499,3587,11522,122209,5,5,3,1,N,N,M,B,<10k,Y,30,I'm not sure.,No.
os1m1eqftgj0pznezrha,35,male,journey,3883,6014,5038,2074,3880,2936,1972,6439,2147,8383,4353,1521,1478,8226,58663,5,4,6,4,N,N,M,B,50-75k,Y,32,,
p17y4orj0c0jn2mt1f66,5,male,literal,26182,45013,57670,11926,3878,6103,17079,5542,2438,20220,3558,3799,1855,13610,219242,6,5,4,1,N,N,M,B,50-75k,Y,33,,
pafsw7el3hwbwscxpp8y,35,male,literal,5917,7820,7348,3301,3039,2501,2893,5561,2223,11733,7348,13229,6121,8303,88061,5,4,6,5,N,N,M,B,<10k,Y,23,easy to understand,good
pd1z5j0lw3glsp84rcn5,50,female,journey,3828,45477,59016,8660,3564,4564,3423,2959,2936,8871,6184,2771,1937,3603,158366,6,6,0,0,N,Y,F,A,10-25k,Y,61,,
pdsmsekgbt9e37dugyx6,25,female,journey,34816,55343,110820,11795,9886,4780,4088,29954,4654,23461,4709,4311,3800,38010,341028,5,5,5,1,N,N,M,M,25-50k,Y,66,,
phptd753agmxokq0rfox,35,male,battle,8032,4149,2964,3441,1969,908,2092,2100,2288,7048,4026,1051,1647,2475,44803,6,3,4,4,N,N,F,M,50-75k,Y,29,,
phqdcvlz8kv3bqva7gsq,0,male,journey,13256,22948,44225,10198,4374,7537,4092,2053,2478,13078,4155,1741,1270,10074,142645,2,5,3,1,N,N,M,HS,<10k,Y,31,,
phx10vqfv26ylj3dchvx,0,male,journey,6425,16730,27613,7473,2310,1984,1836,3190,2006,12605,4255,1840,1294,3950,93911,3,3,3,3,N,N,M,HS,10-25k,Y,35,,
pmlmvj9z4erzkn332j3n,5,female,journey,8094,21167,34059,10025,5546,3537,3674,3251,2221,12003,3817,4801,4646,2643,120520,4,3,2,1,N,Y,F,B,10-25k,Y,52,unsure,none
psylme7wyps7sq2t8jfy,20,female,battle,3892,40574,38373,4027,6751,2489,2659,2352,2480,5361,4970,33114,1715,2329,151649,6,6,4,2,N,Y,M,HS,25-50k,Y,31,How effective the article was at convincing people to donate money.,
pyjw67tdlde64q45em7p,0,female,literal,2370,88852,7861,7420,2798,2528,2467,3570,2397,11308,3201,10180,2510,4719,152461,4,3,3,4,N,Y,M,A,75-100k,Y,23,Seeing if we would be guilted into donating money. ,
qhsxf0w08u18t31srp48,40,male,literal,6429,26154,15166,5502,2919,5095,3487,2750,2310,10201,3189,5559,1839,9318,100302,5,5,5,1,N,Y,M,A,10-25k,Y,56,,
qoo0syfntaxr02qhs246,10,male,journey,5400,248098,22389,13038,3102,5631,2758,2661,2326,24994,3157,1535,887,3017,339488,5,4,4,5,N,N,M,B,25-50k,Y,31,,
qs2o8jvxl5vspqbqktt9,0,female,literal,4250,74155,46149,34604,10374,4141,6731,4609,2435,11374,4844,34165,4263,9996,252550,5,5,4,4,N,N,M,HS,25-50k,Y,25,Peoples willingness to donate to good cause.,No.
qweo4lhsbb5hjakdelpy,5,female,literal,3495,23707,39942,7880,5786,4180,3271,3100,1727,6806,3086,1880,1558,1862,108668,2,5,4,0,N,N,M,M,10-25k,Y,39,,
r09h71uovbe3vk12jcrt,35,male,journey,5281,23516,52037,5358,2190,2375,3127,3461,2046,8835,3821,2023,1415,3395,121924,6,6,5,6,N,N,M,B,25-50k,Y,25,,
r6a86khmmpfccv7osurc,5,female,literal,26967,33863,45044,8092,8811,5861,6070,5235,3922,18328,4962,11435,5916,12354,197083,6,6,2,0,N,N,F,A,10-25k,Y,62,,thanks
r6otlmnxvu9xluknokkq,20,male,literal,2646,13827,36224,5816,4184,1820,1805,3036,1476,7617,2915,982,1011,1511,85122,4,5,4,4,N,Y,M,B,25-50k,Y,28,,
r7ryqa1pbfbmg0hcvwk7,0,female,battle,4096,17058,35285,6015,6838,3839,3847,3100,2229,8074,4127,2117,863,3356,101360,5,5,3,5,N,N,F,B,25-50k,Y,47,,
r9n8yjfkxdc98w0c082o,0,female,journey,12524,40103,14321,17094,3226,7836,3934,2452,1915,9707,2088,2420,1054,3184,122072,5,6,4,0,N,Y,M,B,100-150k,Y,35,,
r9rf5ulw16t0h3kkk1jj,10,male,literal,48819,69906,121624,38834,8217,21544,9855,4888,7661,29816,5377,97673,5261,20482,490385,1,5,3,3,N,N,F,A,10-25k,Y,57,,
rbvhsum5rh91fpdg7dza,0,male,battle,5030,31007,31519,14183,2858,2171,2063,2664,2547,9746,4044,2517,1616,3247,115461,4,4,4,1,N,Y,M,B,25-50k,Y,26,,
rew9rdzexk6cl3c1apnc,10,female,battle,2045,24340,35652,8455,4603,3312,2864,2570,2251,9946,3894,2194,1189,2397,106199,4,4,4,1,N,N,M,B,25-50k,Y,25,,
rh12gx35t4uhrlmos0ox,5,male,literal,9224,74665,86897,43621,33000,10642,4969,2673,4214,21497,7641,184577,8761,14272,507013,6,6,4,1,N,Y,M,HS,50-75k,Y,40,Unsure. Maybe our ability to sympathize with others or show empathy in general. I chose that specific amount because that's probably about how much I would have offered to a complete stranger if I viewed the crowdsource page in reality. I don't know Jason or his friend who is helping him. ,I have no further comments.
s0fn65h5oaf2klbzutnu,25,female,literal,35405,31779,48702,5365,3129,23731,17435,3562,4787,18670,5281,8023,2423,35434,244180,6,6,3,3,N,Y,F,A,10-25k,Y,39,I am not sure?,No comments at the current time.
s28tf902qlmzfe6l9ok6,5,male,literal,57034,76431,17375,4845,2268,2142,1879,3297,1803,5859,2901,1827,1133,1929,181181,4,5,3,2,N,Y,F,HS,100-150k,Y,36,,
s4deye8adzes01ea3p2n,10,female,journey,5945,94094,15146,7639,3636,3293,2301,3303,1667,9145,4230,14271,1392,11576,177878,4,5,5,1,N,N,M,B,<10k,Y,25,How willing people are to donate for certain causes,
s4lpzc71y33wkwqduhom,0,male,battle,10251,10891,27209,8318,2830,8994,8711,2753,2733,9254,2517,4660,2019,4169,105984,3,4,3,4,N,Y,M,B,25-50k,Y,30,not sure,
s8f0px4qny6f5244pyeb,0,female,literal,4646,10959,7165,3283,1237,2156,9680,1784,1175,4181,1744,1474,993,2688,53501,6,6,6,0,N,N,M,B,50-75k,Y,24,,
sbwz9lda97v3ttduj133,10,male,literal,36125,23339,34843,6748,5821,3626,4971,3099,2862,11426,5109,33878,2791,17701,192687,5,5,4,0,N,Y,F,B,50-75k,Y,27,willingness to donate vs not when faced with a sad situation,
sda48fhanl5noz26dn5j,0,female,literal,9739,38633,59479,6442,7351,5466,4882,5680,3962,14908,8414,17260,5106,8008,195986,4,5,4,4,N,N,F,A,10-25k,Y,57,empathy and donations ,no
sxkboxuxeymwd24b1nzm,30,female,literal,3961,150496,7170,3239,1795,1699,2435,2446,1216,4230,2822,1415,1304,4011,188610,4,4,5,4,N,Y,M,B,>150k,Y,36,,
syygt7wddkm92leom4kj,31,male,battle,4753,4619,5122,2558,3154,2252,1694,1866,1655,9291,2824,1145,1017,3303,45730,5,6,4,4,N,N,F,B,<10k,Y,36,,
t5b5mw4q8q20a9khmozf,5,female,journey,21832,28049,24753,13811,6242,3410,3694,2881,2105,8761,5018,5278,2613,13862,144147,4,4,2,4,N,N,M,A,10-25k,Y,40,,
tw07n3vq0c9tc7wem7ev,20,male,battle,4424,10666,8341,2729,1969,1639,1278,2733,1734,5020,2301,1369,1094,2802,48377,4,4,5,4,N,Y,F,A,25-50k,Y,31,,
twj3e543qq33e3std9el,25,female,journey,5599,55714,53982,7926,4142,4887,7295,3037,5925,33705,8965,37175,3975,10899,243820,4,5,5,1,N,Y,M,<HS,10-25k,Y,54,How generous I am.,
umfgan9s1rqcarexz1db,26,female,literal,5369,4415,10950,11245,4569,3709,2861,4322,3970,9894,8531,2113,1498,8326,82952,6,6,5,5,N,Y,M,B,50-75k,Y,29,,
unwzdgy46004dnjf4wls,0,female,journey,2174,3038,3435,2003,1993,849,638,2638,2152,5956,2878,1053,617,8563,38643,3,3,3,3,N,N,F,HS,25-50k,Y,34,,
ut1c9y7sngqat31ub6an,0,male,journey,37446,75690,96454,38928,6788,5056,5451,7140,4254,13062,7513,55613,15230,17621,388123,6,6,3,6,Y,Y,M,A,<10k,Y,71,"Not sure.But if I knew Jason in person, I would do anything I could to help him",Thank you for the work!
v3bjwp010chchxqgkttk,10,female,literal,5460,48444,49643,6410,3355,3598,2395,2194,3686,7097,4600,1899,1061,12614,152901,5,5,5,1,N,N,M,B,75-100k,Y,27,,
v6nauq4pzl565xr469za,0,female,journey,2887,21200,4630,8952,5171,4197,3289,2153,2451,9438,4132,5489,3970,1812,80282,4,4,3,2,N,Y,M,A,<10k,Y,30,Our greed.,Nah.
v7t8mjf6grg1xsbcuv70,0,male,journey,5581,26355,22298,26039,3375,12823,6306,3329,2821,12046,3541,14788,9535,7322,156531,3,6,6,6,N,Y,M,HS,25-50k,Y,35,how sympathetic we are to a gofundme appeal,"well paid, thanks"
v9asko8ng8tjjuu8sjcw,50,male,journey,7225,18544,50888,6203,5970,2915,5344,4198,2607,10668,3845,1853,2553,5381,129027,5,6,5,5,N,Y,M,B,25-50k,Y,39,,
vgzbadhlrk2fgw2g1j5u,25,male,literal,20043,41899,42659,6648,4588,5054,4628,3961,3226,38175,3847,33229,2360,22581,233373,4,5,3,2,N,N,F,B,100-150k,Y,48,How people feel about crowdfunding campaigns and if they would be more willing do donate if they won some money,
vo83nptyzwqgfb2b4t56,10,female,battle,12415,23231,45697,10614,3889,4655,4105,6415,2839,10294,3935,2345,1552,14215,146577,5,6,4,0,N,Y,F,B,25-50k,Y,58,,
wcksdcy1offzju3x8jzv,0,male,battle,10557,37249,20711,9031,2621,1263,3382,2274,2458,6733,9304,2013,1314,4611,114848,5,6,5,0,N,N,M,M,25-50k,Y,37,,
wrubs7qjoyhjq1h3osk2,5,male,battle,2814,25643,37786,5502,5717,3257,3331,4738,3187,7179,4879,1871,1974,2745,111029,3,3,4,0,N,Y,M,HS,75-100k,Y,NA,,
wulhgz5an3pmxnydkamy,1,male,literal,2924,18573,25870,8854,3471,14358,7583,3422,2815,8625,5590,2710,1215,2009,108806,6,5,0,0,N,N,M,B,25-50k,Y,39,,
x38edjkhvtpdabe0fg3r,0,female,journey,5179,22485,9911,4738,3046,4174,8086,3855,2203,8153,3670,7873,1165,2566,87311,5,3,3,1,N,Y,M,HS,10-25k,Y,38,i dont know,
x3g3wr8knxwqqzmbrnzw,15,female,battle,3227,16121,24682,7210,2351,3671,2959,2294,2958,6427,3046,1834,965,2762,80926,5,6,3,3,N,Y,M,HS,<10k,Y,27,,
xjej530r77ep7355crnq,5,male,battle,5805,36263,28201,5427,2840,4901,4692,3109,1863,8570,2648,26594,1573,8197,141135,2,5,5,0,N,Y,F,B,50-75k,Y,32,willingness to donate to a crowdfunding campaign (perhaps with and without a picture),
xl2kkmw490a9r40qta73,10,male,journey,11536,46224,9711,5692,11052,10098,5047,3203,3542,8209,3373,1454,883,4037,124886,4,5,5,2,N,Y,F,B,25-50k,Y,34,,
xp02kbaplhw0f4lsjju4,50,male,literal,11930,51523,164294,54765,7284,16070,9273,8333,4238,18804,5381,6906,2899,42514,404794,6,6,1,3,N,Y,M,B,<10k,Y,37,,
xqdn3yfjn27c6b7uk025,0,female,battle,9004,37511,42704,7480,3020,3391,2243,2419,1994,5914,4309,9874,963,3711,135057,6,6,5,1,N,N,M,HS,10-25k,Y,30,I think it's about getting different opinions from different sources to see how they compare. ,
xqqjkyzkk7o5xuwgrh8x,0,female,journey,2885,12075,12966,5021,4128,3330,2832,2742,1638,5813,1620,2307,973,1764,60485,6,6,6,0,N,N,M,A,>150k,Y,25,,
xxj7e1506xf06pm1zxsu,10,female,literal,11758,25508,40566,7343,7207,3584,3906,3367,2471,10459,3569,58515,1609,15891,196373,4,3,2,1,N,Y,F,B,75-100k,Y,49,If people feel connected to fundraising campaigns for medical procedures,
xxzq7uj28r0lasj1xro2,0,male,literal,9049,35617,11022,3637,2148,5044,1822,3180,2902,6434,2397,1209,959,1747,87816,2,3,3,4,N,N,F,B,25-50k,Y,26,,
y2m7jpadfro0gzj99c0l,10,male,literal,11512,32608,54253,7394,7664,3940,4685,3571,2592,9070,3516,5609,1568,9602,158087,6,6,3,3,N,Y,F,M,100-150k,Y,52,empathy,
yh05j6wa3hqcd03d04e8,0,female,battle,11103,24136,11747,11598,8095,7662,6235,3947,3470,13466,4602,18808,4914,5045,135585,5,6,2,1,N,N,M,HS,<10k,Y,54,who is more charitable,none
yok06tcll1cj3qv3ez54,33,female,journey,3396,4648,4284,3260,1810,1207,2072,2370,2471,12684,2856,1556,930,2413,46313,5,4,2,4,N,N,F,HS,25-50k,Y,25,,
z3bny5p4bru8d6pvqv8s,35,male,battle,11082,316129,310713,5440,1643,21734,2187,4577,1801,7217,2949,1406,1396,3403,692573,5,6,3,1,N,N,M,B,75-100k,Y,35,,
zeha7lmnr8rlm4239rl1,33,male,literal,38703,6121,2770,3125,2159,1679,1143,3258,1613,7031,4051,1127,973,1399,75638,3,5,3,4,N,N,M,B,50-75k,Y,25,,
zjbj5tkr04dj54r78e11,0,male,journey,11885,34304,56899,8875,3889,2349,2735,2869,2516,4092,2860,1542,1062,1482,137588,6,4,3,5,N,N,M,M,100-150k,Y,28,,
zux19pk29g6wjtx0eax9,10,female,literal,12781,40699,76110,37030,6582,4750,4238,4622,2421,9407,8837,47047,3143,24722,282950,5,6,3,2,N,Y,F,A,25-50k,Y,53,how compassionate or greedy someone would be when someone needed help ,
zz9al03q5j1d1l0e0o49,20,female,literal,14371,56152,99511,23918,6917,16567,5267,4477,4202,12539,6180,6418,2777,19174,278928,4,6,5,1,N,Y,M,HS,25-50k,Y,35,,
zznspmxknjxdj5sujmtp,0,female,battle,4262,27268,22546,8615,3738,7192,2812,4763,1936,6501,3616,1722,1287,4018,100491,5,4,4,5,N,"NA",M,B,10-25k,Y,NA,,
